Row Labels;Average of Median;;Row Labels;Average of Median
T1_803_R032.H5;11.7;;T10_801_R338.H5;0
T1_803_R102.H5;11.37;;T12_1000_R092.H5;0
T1_803_R1132.H5;12.79;;T10_801_R400.H5;0.01
T1_803_R1202.H5;12.78;;T10_801_R560.H5;0.01
T1_803_R1262.H5;0.25;;T10_801_R460.H5;0.03
T1_803_R2148.H5;83.05;;T10_801_R620.H5;0.03
T1_803_R332.H5;11.66;;T12_1000_R100.H5;0.03
T1_803_R402.H5;11.57;;T10_804_R232.H5;0.05
T1_803_R632.H5;12.99;;T10_804_R352.H5;0.05
T1_803_R702.H5;12.95;;T12_100_R762.H5;0.06
T1_803_R762.H5;0.25;;T12_1000_R180.H5;0.06
T10_801_R094.H5;5.36;;T12_1000_R012.H5;0.07
T10_801_R338.H5;0;;T12_1000_R176.H5;0.09
T10_801_R400.H5;0.01;;T12_1000_R000.H5;0.14
T10_801_R460.H5;0.03;;T12_1000_R108.H5;0.15
T10_801_R560.H5;0.01;;T12_1000_R168.H5;0.16
T10_801_R620.H5;0.03;;T12_1000_R008.H5;0.18
T10_804_R1072.H5;20.94;;T12_1000_R116.H5;0.18
T10_804_R1076.H5;6.73;;T12_1000_R104.H5;0.2
T10_804_R1192.H5;14.29;;T12_1000_R024.H5;0.21
T10_804_R1196.H5;6.34;;T12_1000_R112.H5;0.22
T10_804_R1672.H5;0.36;;T12_1000_R164.H5;0.22
T10_804_R1792.H5;6;;T12_1000_R148.H5;0.24
T10_804_R1796.H5;6.95;;T1_803_R1262.H5;0.25
T10_804_R232.H5;0.05;;T1_803_R762.H5;0.25
T10_804_R352.H5;0.05;;T12_1000_R144.H5;0.33
T12_100_R762.H5;0.06;;T12_1000_R172.H5;0.33
T12_1000_R000.H5;0.14;;T12_1000_R028.H5;0.35
T12_1000_R008.H5;0.18;;T10_804_R1672.H5;0.36
T12_1000_R012.H5;0.07;;T12_1000_R060.H5;0.36
T12_1000_R024.H5;0.21;;T13_1000_R012.H5;0.4
T12_1000_R028.H5;0.35;;T12_1000_R132.H5;0.43
T12_1000_R040.H5;0.65;;T12_1000_R136.H5;0.43
T12_1000_R044.H5;0.63;;T12_1000_R064.H5;0.52
T12_1000_R060.H5;0.36;;T12_1000_R044.H5;0.63
T12_1000_R064.H5;0.52;;T12_1000_R040.H5;0.65
T12_1000_R068.H5;0.84;;T12_1000_R068.H5;0.84
T12_1000_R072.H5;0.94;;T12_1000_R072.H5;0.94
T12_1000_R092.H5;0;;T10_801_R094.H5;5.36
T12_1000_R096.H5;47.65;;T10_804_R1792.H5;6
T12_1000_R100.H5;0.03;;T10_804_R1196.H5;6.34
T12_1000_R104.H5;0.2;;T13_1000_R032.H5;6.6
T12_1000_R108.H5;0.15;;T10_804_R1076.H5;6.73
T12_1000_R112.H5;0.22;;T10_804_R1796.H5;6.95
T12_1000_R116.H5;0.18;;T1_803_R102.H5;11.37
T12_1000_R132.H5;0.43;;T1_803_R402.H5;11.57
T12_1000_R136.H5;0.43;;T1_803_R332.H5;11.66
T12_1000_R144.H5;0.33;;T1_803_R032.H5;11.7
T12_1000_R148.H5;0.24;;T1_803_R1202.H5;12.78
T12_1000_R164.H5;0.22;;T1_803_R1132.H5;12.79
T12_1000_R168.H5;0.16;;T1_803_R702.H5;12.95
T12_1000_R172.H5;0.33;;T1_803_R632.H5;12.99
T12_1000_R176.H5;0.09;;T10_804_R1192.H5;14.29
T12_1000_R180.H5;0.06;;T10_804_R1072.H5;20.94
T13_1000_R012.H5;0.4;;T12_1000_R096.H5;47.65
T13_1000_R016.H5;311;;T1_803_R2148.H5;83.05
T13_1000_R032.H5;6.6;;T13_1000_R016.H5;311
T13_1000_R036.H5;434;;T13_1000_R036.H5;434
T13_1000_R056.H5;715;;T13_1000_R056.H5;715
Grand Total;30.02;;;
